"signature_id","reader_label","genes_n","biological_family","derivation_group","source_material","source_contrast_or_method","direction","asthma_specificity","primary_reference","exact_list_locator_or_status","traceability_grade","interpretation_limit","required_dissertation_action"
"OXPHOS","Oxidative phosphorylation",133,"Innate / neutrophil / inflammasome","Canonical/general pathway","Human canonical pathway database","Legacy KEGG pathway membership","Unsigned pathway membership","General pathway; asthma relevance supported separately","MSigDB KEGG_LEGACY oxidative phosphorylation pathway","Legacy MSigDB KEGG oxidative-phosphorylation gene-set export used by the frozen library.","A","Legacy database version; do not silently update membership after outcome analysis.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Neutrophil","Neutrophil-associated genes",45,"Innate / neutrophil / inflammasome","Immune-cell reference","Immune-cell expression compendium","Cell-type-enriched immune-expression compendium","Enriched","Indirect immune-cell relevance","Abbas et al. (2005), Genes Immun, doi:10.1038/sj.gene.6364173","Frozen 45-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Bulk-tissue score mixes abundance and activation.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"LPS_stimulated_macrophage","LPS-stimulated macrophage",116,"Innate / neutrophil / inflammasome","Airway/cell perturbation","Human monocyte-derived macrophages","LPS-stimulated macrophage response","Stimulated/up","Indirect innate-immune relevance","Xue et al. (2014), Immunity, doi:10.1016/j.immuni.2014.01.006","Frozen 116-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Macrophage perturbation response is not macrophage abundance.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"TAC2","TAC2 innate/inflammasome programme",39,"Innate / neutrophil / inflammasome","Asthma-cohort-derived","U-BIOPRED sputum","508 eosinophilic-versus-noneosinophilic sputum DE genes clustered into TACs","TAC2 centroid genes","Direct U-BIOPRED asthma derivation","Kuo et al. (2017), Eur Respir J, doi:10.1183/13993003.02135-2016","Kuo et al. (2017) TAC2 39-gene centroid/signature used in the U-BIOPRED sputum TAC analysis.","A","Use as a continuous TAC2 programme score, not cluster assignment.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"NETosis","NETosis panel",9,"Innate / neutrophil / inflammasome","Non-asthma disease-derived","Severe-COVID transcriptomic datasets","NETosis/immunothrombosis transcriptomic panel","Associated panel","Indirect; derived outside asthma","Mukhopadhyay et al. (2021), BMC Genom Data, doi:10.1186/s12863-021-01001-1","Frozen nine-gene analysis list derived outside asthma; exact article supplement should be retained with future library releases.","B","Derived in severe COVID-19, so asthma relevance is indirect.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"IL6_TS","IL-6 trans-signalling",8,"Innate / neutrophil / inflammasome","Asthma/airway-derived","Airway epithelium/asthma","Genes defining epithelial IL-6 trans-signalling phenotype","Associated/up","Direct asthma relevance","Jevnikar et al. (2019), J Allergy Clin Immunol, doi:10.1016/j.jaci.2018.05.036","Frozen eight-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Exact eight-gene construction was not fully reconstructed from the paper supplement.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"IL1R_family_related","IL-1 receptor-family programme",6,"Innate / neutrophil / inflammasome","Asthma-cohort-derived","U-BIOPRED sputum","IL-1 receptor-family genes increased in severe-asthma sputum","Associated/up","Direct U-BIOPRED asthma derivation","Rossios et al. (2018), J Allergy Clin Immunol, doi:10.1016/j.jaci.2017.02.045","Frozen six-gene receptor-family panel; exact source-supplement locator was not independently reconstructed.","C","Do not interpret as isolated IL1RL1 signalling; it is a small correlated receptor-family panel.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Mast_cell","Mast-cell markers",6,"Mast cell / IgE / IL-33","Asthma/airway-derived","Human lung single-cell atlas","Mast-cell marker genes","Marker expression","Asthma lung atlas","Vieira Braga et al. (2019), Nat Med, doi:10.1038/s41591-019-0468-5","Frozen six-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Marker score mixes mast-cell abundance and activation.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"IgE_FcepsilonR1_Activated_MC_ref_3","IgE/Fc-epsilon-RI-activated mast cells",30,"Mast cell / IgE / IL-33","Airway/cell perturbation","Human mast-cell experiments","Acute IgE/Fc-epsilon-RI activation","Stimulated/associated","Allergic/mast-cell relevance; exact list uncertain","Chtanova et al. (2005), J Immunol, doi:10.4049/jimmunol.175.12.7837; Jayapal et al. (2006), BMC Genomics, doi:10.1186/1471-2164-7-210","Frozen 30-gene analysis list; it could not be uniquely assigned between the two inherited mast-cell citations.","C","Exact 30-gene list could not be uniquely assigned between the cited source studies.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Repeated_FcepsilonR1_Stimulation_ref_4","Repeated Fc-epsilon-RI stimulation",30,"Mast cell / IgE / IL-33","Airway/cell perturbation","Human mast-cell experiments","Repeated Fc-epsilon-RI triggering","Repeated-stimulation response","Allergic/mast-cell relevance","Suurmond et al. (2016), J Allergy Clin Immunol, doi:10.1016/j.jaci.2016.01.017","Frozen 30-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Exact list construction needs the source supplement; several genes are not mast-cell-specific.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Mast_cell_stimulated_by_IL33_ref7","IL-33-stimulated mast cells",86,"Mast cell / IgE / IL-33","Airway/cell perturbation","Human mast cells and bronchial epithelium","IL-33-stimulated mast-cell/epithelial response","Stimulated response","Direct airway/allergic relevance","Nagarkar et al. (2015), J Allergy Clin Immunol, doi:10.1016/j.jaci.2015.01.036","Frozen 86-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Near-duplicate of IL33_signalling_ref28 (85/86 genes overlap).","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Mast_cell_asthma_MCscbb_ref6","Asthma mast-cell state",11,"Mast cell / IgE / IL-33","Asthma/airway-derived","Human asthma lung single-cell atlas","Asthma-associated mast-cell state","Marker expression","Asthma lung atlas","Vieira Braga et al. (2019), Nat Med, doi:10.1038/s41591-019-0468-5","Frozen 11-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Marker score is not an independent mast-cell count.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Th17_Zhang","Th17-enriched genes",22,"IL-17 / ILC3","Immune-cell reference","Human CD4+ T-cell subsets","Th17-enriched expression","Enriched","Indirect immune-cell relevance","Zhang et al. (2013), J Allergy Clin Immunol, doi:10.1016/j.jaci.2013.05.033","Frozen 22-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Cell-enrichment score is not a Th17 cell count.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"IL17A","IL-17A response",24,"IL-17 / ILC3","Airway/cell perturbation","Asthmatic human airway smooth muscle","IL-17A-stimulated airway-smooth-muscle response","Stimulated response","Direct asthmatic-airway-cell response","Dragon et al. (2014), Am J Respir Cell Mol Biol, doi:10.1165/rcmb.2013-0267OC","Frozen 24-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Response is from airway smooth muscle, not all airway cell types.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"IL17_signalling_ref27","IL-17 signalling (KEGG)",94,"IL-17 / ILC3","Canonical/general pathway","Human canonical pathway database","Legacy/current KEGG hsa04657 membership","Unsigned pathway membership","General pathway with asthma relevance","KEGG hsa04657; Kanehisa and Goto (2000), Nucleic Acids Res, doi:10.1093/nar/28.1.27","KEGG hsa04657 IL-17-signalling membership used by the frozen library (94 genes).","A","Canonical pathway membership is not an asthma-specific signature.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"ILC3_up_PMID26878113","ILC3-enriched genes",244,"IL-17 / ILC3","Immune-cell reference","Human blood ILC subsets","ILC3-enriched versus other ILC subsets","Enriched","Indirect immune-cell relevance","Björklund et al. (2016), Nat Immunol, doi:10.1038/ni.3368","Frozen 244-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","A cell-enrichment score is not an ILC3 cell count.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"M1_macrophage_ref17","M1 macrophage",17,"Macrophage / regulatory T cell","Immune-cell reference","Human macrophage transcriptomes","M1-polarisation markers","Polarisation-associated","Indirect immune-cell relevance","Becker et al. (2015), Sci Rep, doi:10.1038/srep13351","Frozen 17-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","M1/M2 labels simplify a continuum of macrophage activation.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"M2_macrophage_ref17","M2 macrophage",14,"Macrophage / regulatory T cell","Immune-cell reference","Human macrophage transcriptomes","M2-polarisation markers","Polarisation-associated","Indirect immune-cell relevance","Becker et al. (2015), Sci Rep, doi:10.1038/srep13351","Frozen 14-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","M1/M2 labels simplify a continuum of macrophage activation.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Macrophage_GMCSF_IL4","GM-CSF plus IL-4 macrophage",93,"Macrophage / regulatory T cell","Airway/cell perturbation","Human monocyte-derived macrophages","GM-CSF then IL-4 activation","Stimulated response","Indirect immune-cell relevance","Xue et al. (2014), Immunity, doi:10.1016/j.immuni.2014.01.006","Frozen 93-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Perturbation response is not macrophage abundance.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Macrophage_GMCSF_TNFa_HS_IVS_UP","GM-CSF plus TNF-alpha macrophage",160,"Macrophage / regulatory T cell","Airway/cell perturbation","Human monocyte-derived macrophages","GM-CSF then TNF-alpha activation","Stimulated response","Indirect immune-cell relevance","Xue et al. (2014), Immunity, doi:10.1016/j.immuni.2014.01.006","Frozen 160-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Perturbation response is not macrophage abundance.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Treg_activated","Activated regulatory T cells",92,"Macrophage / regulatory T cell","Immune-cell reference","Human CD4+ T-cell subsets","Activated T-regulatory-cell expression","Activated/enriched","Indirect immune-cell relevance","Zhang et al. (2013), J Allergy Clin Immunol, doi:10.1016/j.jaci.2013.05.033","Frozen 92-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Exact 92-gene construction requires source supplementary data.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"CD4","Severe-asthma circulating T-cell panel",39,"Macrophage / regulatory T cell","Asthma-cohort-derived","Circulating T cells in severe asthma","Published severe-asthma signal is in CD8+, not CD4+, circulating T cells","Disease-associated","Direct severe-asthma derivation but inherited label is wrong","Tsitsiou et al. (2012), J Allergy Clin Immunol, doi:10.1016/j.jaci.2011.08.011","Frozen 39-gene list inherited with a CD4 label, although the cited severe-asthma finding concerns CD8+ T cells.","C","Do not call this a CD4 signature: the cited severe-asthma signal was in circulating CD8+ T cells, not CD4+ cells.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"TAC3","TAC3 metabolic/mitochondrial programme",17,"Structural / metabolic / cell stress","Asthma-cohort-derived","U-BIOPRED sputum","508 eosinophilic-versus-noneosinophilic sputum DE genes clustered into TACs","TAC3 centroid genes","Direct U-BIOPRED asthma derivation","Kuo et al. (2017), Eur Respir J, doi:10.1183/13993003.02135-2016","Kuo et al. (2017) TAC3 17-gene centroid/signature used in the U-BIOPRED sputum TAC analysis.","A","Use as a continuous TAC3 programme score, not cluster assignment.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"ECM_organisation","Extracellular-matrix/remodelling panel",9,"Structural / metabolic / cell stress","Asthma/airway-derived","Asthma airway remodelling/proteomics","Selected extracellular-matrix/remodelling proteins/genes","Associated panel","Direct asthma-remodelling relevance","Calvo et al. (2009), Proteomics, doi:10.1002/pmic.200800476","Frozen nine-gene ECM/remodelling panel; it is a selected marker panel rather than a complete pathway.","B","Small selected panel does not represent all ECM biology.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Mucus","Mucin-family panel",8,"Structural / metabolic / cell stress","Curated marker panel","Curated mucin genes","Eight inherited mucin-family symbols","Marker panel","Asthma-relevant biology; exact construction unresolved","Alevy et al. (2012) supports mucus biology but not the exact inherited eight-gene panel","Frozen eight-symbol mucin panel; exact construction is unresolved and MUCB is a legacy/ambiguous symbol.","C","Contains MUCB, likely a legacy/erroneous symbol for MUC5B; exact eight-gene derivation is unresolved.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"P53_pathway","p53 signalling (legacy KEGG)",68,"Structural / metabolic / cell stress","Canonical/general pathway","Human canonical pathway database","Legacy KEGG hsa04115 membership","Unsigned pathway membership","General pathway; severe-asthma biopsy relevance now supported","MSigDB M6370, KEGG_P53_SIGNALING_PATHWAY (68 genes; KEGG legacy)","MSigDB M6370 KEGG_P53_SIGNALING_PATHWAY legacy export (68 genes).","A","Legacy KEGG set; current database membership differs.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"SASP","Senescence-associated secretory phenotype",109,"Structural / metabolic / cell stress","Canonical/general pathway","Human WikiPathways/MSigDB pathway","Legacy WP3391/MSigDB SASP membership","Unsigned pathway membership","General pathway; severe-asthma biopsy relevance now supported","WikiPathways WP3391 / MSigDB senescence-associated secretory phenotype","Legacy WikiPathways WP3391/MSigDB SASP export used by the frozen library (109 genes).","A","Legacy database symbols include renamed histones; do not update post hoc.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Ageing","Ageing-associated expression",58,"Structural / metabolic / cell stress","Canonical/general pathway","Cross-tissue human ageing meta-analysis","Age-associated genes from meta-analysis","Age-associated","General ageing biology","de Magalhães et al. (2009), Bioinformatics, doi:10.1093/bioinformatics/btp073","Frozen 58-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Not asthma-derived and directionality can vary by tissue.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"IL33_signalling_ref28","IL-33 signalling",98,"Structural / metabolic / cell stress","Airway/cell perturbation","Human mast cells and bronchial epithelium","IL-33-dependent mast-cell/ILC2 epithelial response","Stimulated response","Direct airway/allergic relevance","Nagarkar et al. (2015), J Allergy Clin Immunol, doi:10.1016/j.jaci.2015.01.036","Frozen 98-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Near-duplicate of the IL-33-stimulated mast-cell set; not independent evidence.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
